City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution,,New Water,WA,Rating
Fort Worth,32.7554883,-97.3307658,Texas,United States of America,Fort Worth Texas United States of America ,47.72727273,51.13636364,,48.86363636,96.59090909,48.29545455
Dallas,32.7766642,-96.7969879,Texas,United States of America,Dallas Texas United States of America ,63.38028169,42.69230769,,57.30769231,120.687974,60.343987
Haifa,32.7940463,34.989571,Haifa District,Israel,Haifa Haifa District Israel ,17.96875,54.62962963,,45.37037037,63.33912037,31.66956019
Tripoli,32.8872094,13.1913383,,Libya,Tripoli  Libya ,54.62962963,68.51851852,,31.48148148,86.11111111,43.05555556
Keller,32.9341893,-97.229298,Texas,United States of America,Keller Texas United States of America ,66.66666667,25,,75,141.6666667,70.83333333
Allen,33.1031744,-96.6705503,Texas,United States of America,Allen Texas United States of America ,75,12.5,,87.5,162.5,81.25
Phoenix,33.4483771,-112.0740373,Arizona,United States of America,Phoenix Arizona United States of America ,44.29347826,47.64705882,,52.35294118,96.64641944,48.32320972
Augusta,33.4734978,-82.0105148,Maine,United States of America,Augusta Maine United States of America ,50,100,,0,50,25
Jeju,33.4996213,126.5311884,Jeju Province,South Korea,Jeju Jeju Province South Korea ,50,60.71428571,,39.28571429,89.28571429,44.64285714
Birmingham,33.5185892,-86.8103567,England,United Kingdom,Birmingham England United Kingdom ,52.97619048,25.64102564,,74.35897436,127.3351648,63.66758242
Casablanca,33.5731104,-7.5898434,Casablanca-Settat,Morocco,Casablanca Casablanca-Settat Morocco ,22.6744186,60.57692308,,39.42307692,62.09749553,31.04874776
Fukuoka,33.5901838,130.4016888,Fukuoka Prefecture,Japan,Fukuoka Fukuoka Prefecture Japan ,56.25,40.625,,59.375,115.625,57.8125
Huntington Beach,33.6594835,-117.9988026,California,United States of America,Huntington Beach California United States of America ,85.71428571,65.625,,34.375,120.0892857,60.04464286
Islamabad,33.6844202,73.0478848,Islamabad Capital Territory,Pakistan,Islamabad Islamabad Capital Territory Pakistan ,67.41803279,51.32743363,,48.67256637,116.0905992,58.04529958
Atlanta,33.7489954,-84.3879824,Georgia,United States of America,Atlanta Georgia United States of America ,59.6875,46.57534247,,53.42465753,113.1121575,56.55607877
Long Beach,33.7700504,-118.1937395,California,United States of America,Long Beach California United States of America ,50,32.69230769,,67.30769231,117.3076923,58.65384615
Aley,33.8069031,35.6024366,Mount Lebanon Governorate,Lebanon,Aley Mount Lebanon Governorate Lebanon ,75,100,,0,75,37.5
Beirut,33.8937913,35.5017767,Beirut Governorate,Lebanon,Beirut Beirut Governorate Lebanon ,16.96428571,81.80379747,,18.19620253,35.16048825,17.58024412
